10,FS103,NUOC MAM CHAY,*ORGANIC*,,2,CTNS,30.00,/CTNS,0.000,60.00,29.52
20,SS129,NAM DUONG HANG VIET SOY,,,1,CTNS,27.00,/CTNS,0.000,27.00,27.00
30,SS127,NAM DUONG SOY SAUCE,,*S*,1,CTNS,30.00,/CTNS,0.000,30.00,14.87
40,SS128A,NAM DUONG SOY SAUCE,,*S*,1,CTNS,27.00,/CTNS,0.000,27.00,27.00
50,PW491,3K THACH RAU CAU PHA SAN,,,1,CTNS,60.00,/CTNS,0.000,60.00,60.00
60,PW620A,3K WHITE GRASS JELLY,,,1,CTNS,54.00,/CTNS,0.000,54.00,54.00
70,PW620,3K BLACK GRASS JELLY,,,1,CTNS,54.00,/CTNS,0.000,54.00,0.00
80,NT129,LAL RED PEANUT,*JUMBO BG*,,1,CTNS,50.00,/CTNS,0.000,50.00,50.00
90,NT128,LAL RED PEANUT,*3LBS*,,1,CTNS,50.00,/CTNS,0.000,50.00,50.00
,,,,,,,,Invoice totals:,,412.00,312.39

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0445
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770520,Invoice date:,11/19/18,Customer: K003,KIM NHUNG SUPERFOOD INC,Sales rep:,17
Order,#:,99886,Order date:,11/06/18,,30925 DEQUINDRE
,,,,,Telephone:,248-588-8383
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,Lin-disc%,Ext-price,Gross-margin
10,RS243,QH BUN TUOI DAC BIET,,#802,10,CTNS,79.00,/CTNS,0.000,790.00,75.00
20,RS246,QH BUN BAC LIEU RED,,#804,5,CTNS,79.00,/CTNS,0.000,395.00,65.00
30,FS220,3 CRAB FISH SAUCE,,,68,CTNS,36.00,/CTNS,0.000,2448.00,170.00
40,RS131A,EXCELENT RICE STICK BIHON,,,10,CTNS,55.00,/CTNS,0.000,550.00,110.00
50,RI181,TRIPLE ROSE JASMINE RICE,,,200,BAGS,19.00,/BAGS,0.000,3800.00,700.00
60,CC170,SAVOY COCONUT CREAM,,,64,CTNS,31.00,/CTNS,0.000,1984.00,224.00
70,CC150,CHEF CHOICE COCONUT,,*M*,24,CTNS,24.00,/CTNS,0.000,576.00,96.00
80,RS142,GUILIN RICE STICK,XL,,2,CTNS,48.00,/CTNS,0.000,96.00,10.00
90,RS141,GUILIN RICE STICK,*L*,,2,CTNS,48.00,/CTNS,0.000,96.00,10.00
100,RS140,GUILIN RICE STICK,*S*,,2,CTNS,48.00,/CTNS,0.000,96.00,96.00
110,RS230,COF JIANGXI VERMICE,,*M*,5,CTNS,59.00,/CTNS,0.000,295.00,25.00
120,RS231,NG FUNG FINE VERM.bun,,*S*,5,CTNS,57.00,/CTNS,0.000,285.00,25.00
130,RS230A,COF JIANGXI VERMICE,,*XL*,5,CTNS,59.00,/CTNS,0.000,295.00,25.00
140,RS105A,MY THO BANH HOI LA DUA,,,1,CTNS,36.00,/CTNS,0.000,36.00,11.52
150,RS105B,MY THO BANH HOI LA CAM,,,1,CTNS,36.00,/CTNS,0.000,36.00,9.66
160,RS104,MY THO BUN TUOI DAC BIET,,,30,CTNS,36.00,/CTNS,0.000,1080.00,300.30
170,RS104,MY THO BUN TUOI DAC BIET,,,3,CTNS,0.00,/CTNS,0.000,0.00,77.97-
180,FS191,LUCKY FISH SAUCE,,,20,CTNS,8.50,/CTNS,0.000,170.00,60.00
190,SA106,LKK HOISIN SAUCE,*36 OZ*,,10,CTNS,29.00,/CTNS,0.000,290.00,32.50
200,CI120,SRIRACHA CHILI SAUCE,,*L*,10,CTNS,24.00,/CTNS,0.000,240.00,30.00
210,SA101,LKK OYSTER SAUCE 32 OZ,,,10,CTNS,35.00,/CTNS,0.000,350.00,55.00
220,BN101B,KASET MUNG BEAN PEEL/,,,10,CTNS,44.00,/CTNS,0.000,440.00,83.00
,,,,,,,,Invoice totals:,,14348.00,2135.01

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0446
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770523,Invoice date:,11/14/18,Customer: N001,NAM PHONG INC.,Sales rep:,5
Order,#:,99904,Order date:,11/07/18,,1829 S.NORMAL AVE.
,,,,,Telephone:
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,,Lin-disc%,Ext-price,Gross-margin
10,CF222,AROY-D LONGAN IN SYRUP,,20,CTNS,34.00,/CTNS,0.000,680.00,140.00
20,COF109C,TRUNG NGUYEN COFEE,*20PK,20,CTNS,42.00,/CTNS,0.000,840.00,150.00
30,COF109AAA,TRUNG NGUYEN COFFE,*50ST,20,CTNS,45.00,/CTNS,0.000,900.00,178.60
40,CA223,KOPIKO COFFEE CANDY,(B),20,CTNS,19.00,/CTNS,0.000,380.00,40.00
50,CA224,KOPIKO CAPUCINO CANDY (B),,20,CTNS,19.00,/CTNS,0.000,380.00,40.00
70,RP111A,BANH TRANG MY THO,*25CM*,30,CTNS,41.00,/CTNS,0.000,1230.00,306.90
80,RP111A,BANH TRANG MY THO,*25CM*,3,CTNS,0.00,/CTNS,0.000,0.00,92.31-
90,DD141,VT BOT BANH XEO,,10,CTNS,21.00,/CTNS,0.000,210.00,57.80
100,DD143,VT BOT GAO,,10,EACH,16.00,/CTNS,0.000,160.00,49.50
105,COF109BB,TRUNG NGUYEN X2 GU,3in1,5,CTNS,54.00,/CTNS,0.000,270.00,88.40
110,UT818,PALLET,,2,CTNS,7.00,/CTNS,0.000,14.00,3.00
,,,,,,,Invoice totals:,,5064.00,961.89

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0447
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770525,Invoice date:,11/14/18,Customer: AFFO,A.F. IMPORT & WHOLESALE,Sales rep:,5
Order,#:,99927,Order date:,11/07/18,,2201 JEFFERSON AVE
,,,,,,Telephone: VINCENT/TIFFANY ACCOUNTIN
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,Lin-disc%,Ext-price,Gross-margin
10,BS243,LAL BBS TIPS TW,*40LBS*,,120,CTNS,16.50,/CTNS,0.000,1980.00,678.00
30,NT130,LAL RED PEANUT,,,20,CTNS,54.00,/CTNS,0.000,1080.00,320.00
31,NT128,LAL RED PEANUT,*3LBS*,,20,CTNS,45.00,/CTNS,0.000,900.00,900.00
32,FD109Q,MOGU MOGU PINA COLADA W/,,,12,CTNS,11.00,/CTNS,0.000,132.00,17.52
40,FD109G,MOGU MOGU MANGO DR. W/,,,36,CTNS,11.00,/CTNS,0.000,396.00,95.04
41,FD109C,MOGU MOGU COCONUT DR. W/,,,36,CTNS,11.00,/CTNS,0.000,396.00,95.04
50,FD109E,MOGU MOGU LYCHEE DR. W/,,,48,CTNS,11.00,/CTNS,0.000,528.00,126.72
60,COF107B,NESCAFE VIET,2n1,*DEN BOX,36,CTNS,47.00,/CTNS,0.000,1692.00,349.92
70,COF109B,NESCAFE VIET,3n1,*SUA DA,40,CTNS,47.00,/CTNS,0.000,1880.00,382.80
71,CO230,BANH LU PETIT BEURRE,,200G,10,CTNS,48.00,/CTNS,0.000,480.00,30.00
80,BS240,LAL BBS TIP TIN,,*THAI*,20,CTNS,22.00,/CTNS,0.000,440.00,121.00
90,PA211B,POR KWAN SHRIMP PASTE IN,,,18,CTNS,52.00,/CTNS,0.000,936.00,109.26
100,UT170,LAL VIETNAM BROOMS,,,19,CTNS,64.00,/CTNS,0.000,1216.00,351.50
110,PW490B,DRAGON JELLY POWDER bot,,,20,CTNS,105.00,/CTNS,0.000,2100.00,643.80
120,PW490B,DRAGON JELLY POWDER bot,,,2,CTNS,0.00,/CTNS,0.000,0.00,145.62-
130,DD155,MIKKO BOT BANH BAO MJ-535,,,10,CTNS,48.00,/CTNS,0.000,480.00,80.50
140,COF107BB,TRUNG NGUYEN X2 GU,,2in1,20,CTNS,40.00,/CTNS,0.000,800.00,168.00
150,COF109BB,TRUNG NGUYEN X2 GU,,3in1,24,CTNS,45.00,/CTNS,0.000,1080.00,208.32
160,COF109C,TRUNG NGUYEN COFEE,,*20PK,120,CTNS,41.00,/CTNS,0.000,4920.00,780.00
170,COF109AA,TRUNG NGUYEN COFEE,,*100ST,120,CTNS,40.75,/CTNS,0.000,4890.00,870.00
180,HM121,BRETEL BUTTER,05-15-2019,,20,CTN,118.00,/CTN,0.000,2360.00,160.00
200,PA140,PANTAI CHILI PASTE,,17.6OZ,20,CTNS,56.00,/CTNS,0.000,1120.00,81.00
205,FS192,TIPAROS FISH SAUCE round.,,,38,CTNS,16.50,/CTNS,0.000,627.00,95.00
210,UT818,PALLET,,,13,CTNS,7.00,/CTNS,0.000,91.00,19.50
,,,,,,,,Invoice totals:,,30524.00,6537.30

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0448
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770526,Invoice date:,11/13/18,Customer: B008,BANG KOK GROCERY,Sales rep:,5
Order,#:,99928,Order date:,11/07/18,,3401 WOODVILLE RD
,,,,,Telephone:,419-697-7979
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,,Lin-disc%,Ext-price,Gross-margin
20,VG111,COMP. CHAI POW YU,,,60,CTNS,32.50,/CTNS,0.000,1950.00,210.00
30,COF161,VINA,3IN1 CAFE,*20 SACH*,2,CTNS,40.00,/CTNS,0.000,80.00,12.80
40,PW322,MAMA.SITA OYSTER SAUCE*L*,,,1,CTNS,45.50,/CTNS,0.000,45.50,4.30
50,UT818,PALLET,,,1,CTNS,7.00,/CTNS,0.000,7.00,1.50
,,,,,,,,Invoice totals:,,2082.50,228.60

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0449
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770527,Invoice date:,11/19/18,Customer: CASH,CASH,Sales rep:,7
Order,#:,99931,Order date:,11/07/18
,,,,,Telephone:,419-697-7979
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,Lin-disc%,Ext-price,Gross-margin
10,SS127,NAM DUONG SOY SAUCE,*S*,1,CTNS,30.00,/CTNS,0.000,30.00,14.87
20,SS128,NAM DUONG SOY SAUCE,*L*,1,CTNS,37.00,/CTNS,0.000,37.00,12.11
30,SS128A,NAM DUONG SOY SAUCE,*S*,1,CTNS,27.00,/CTNS,0.000,27.00,27.00
40,SS129,NAM DUONG HANG VIET SOY,,1,CTNS,27.00,/CTNS,0.000,27.00,27.00
50,CI221,CHOLIMEX TUONG OT NGOT,,1,CTNS,24.00,/CTNS,0.000,24.00,12.96
60,CI221A,CHOLIMEX SRIRACHA CHILI,,1,CTNS,21.00,/CTNS,0.000,21.00,10.50
70,CI222,CHOLIMEX SATE TOM,*X-0*,1,CTNS,56.00,/CTNS,0.000,56.00,29.56
90,CI226,CHOLIMEX SATE TOM,90 GR,1,CTNS,52.00,/CTNS,0.000,52.00,28.22
100,PW491,3K THACH RAU CAU PHA SAN,,1,CTNS,60.00,/CTNS,0.000,60.00,60.00
110,DV226,LAL FRIED BEANCURD SHEETS,,1,CTNS,38.00,/CTNS,0.000,38.00,12.80
,,,,,,,Invoice totals:,,372.00,235.02

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0450
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770529,Invoice date:,11/19/18,Customer: CASH,CASH,Sales rep:,7
Order,#:,99959,Order date:,11/08/18
,,,,,Telephone:,419-697-7979
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,Qty-shipped,,Unit price,,Lin-disc%,Ext-price,Gross-margin
10,PA140,,PANTAI CHILI PASTE,17.6OZ,56,CTNS,56.00,/CTNS,0.000,3136.00,226.80
,,,,,,,,Invoice totals:,,3136.00,226.80

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0451
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770531,Invoice date:,11/19/18,Customer: SUNCLUB,SUN'S CLUB INC.,Sales rep:,5
Order,#:,99968,Order date:,11/08/18,,8388 W.SAM HOUSTON PKWY S
,,,,,Telephone:
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,Lin-disc%,Ext-price,Gross-margin
10,RS105,MY THO BANH HOI TUOI,,*VN*,20,CTNS,37.40,/CTNS,0.000,748.00,272.00
20,RS105,MY THO BANH HOI TUOI,,*VN*,4,CTNS,0.00,/CTNS,0.000,0.00,95.20-
30,PW490B,DRAGON JELLY POWDER bot,,,10,CTNS,105.00,/CTNS,0.000,1050.00,321.90
40,PW490B,DRAGON JELLY POWDER bot,,,1,CTNS,0.00,/CTNS,0.000,0.00,72.81-
50,COF109B,NESCAFE VIET,3n1,*SUA DA,20,CTNS,47.00,/CTNS,0.000,940.00,191.40
60,COF109AA,TRUNG NGUYEN COFEE,,*100ST,60,CTNS,40.75,/CTNS,0.000,2445.00,435.00
70,FD109L,MOGU MOGU APPLE DR. W/,,,12,CTNS,11.00,/CTNS,0.000,132.00,31.68
80,FD109C,MOGU MOGU COCONUT DR. W/,,,24,CTNS,11.00,/CTNS,0.000,264.00,63.36
90,FD109K,MOGU MOGU MELON DR. W/,,,12,CTNS,11.00,/CTNS,0.000,132.00,31.68
100,FD109P,MOGU MOGU GUAVA DR. W/,,,12,CTNS,11.00,/CTNS,0.000,132.00,31.68
120,FD109M,MOGU MOGU PEACH DR. W/,,,6,CTNS,11.00,/CTNS,0.000,66.00,15.84
130,FD109R,MOGU MOGU PASSIONFRUIT W,,,6,CTNS,11.00,/CTNS,0.000,66.00,15.84
,,,,,,,,Invoice totals:,,5975.00,1242.37

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0452
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770534,Invoice date:,11/19/18,Customer: S037,"SL & SONS PRODUCE, INC.",Sales rep:,14
Order,#:,99982,Order date:,11/08/18,,14831 MORAN STREET
,,,,,Telephone:,714-901-6682
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,#,Description,Qty-shipped,Unit price,Lin-disc%,Ext-price,Gross-margin
20,FS191,LUCKY FISH SAUCE,,10,CTNS,8.50,/CTNS,0.000,85.00,30.00
30,FS191,LUCKY FISH SAUCE,,1,CTNS,0.00,/CTNS,0.000,0.00,5.50-
40,CF293,CHIN-C ALMOND JELLY,,5,CTNS,11.50,/CTNS,0.000,57.50,6.00
50,CF290,CHIN-C GREEN AI-YU JELLY,,5,CTNS,11.50,/CTNS,0.000,57.50,6.00
60,KS101,SK BOT BANH BOT LOC,*wet,5,CTNS,32.50,/CTNS,0.000,162.50,16.25
70,FR385,MENLO SPRING ROLL WRAPPER,,20,CTNS,22.50,/CTNS,0.000,450.00,57.00
80,FR326,O'TASTY SPRING ROLL SHELL,,80,CTNS,32.00,/CTNS,0.000,2560.00,240.00
90,FS120,1 SQUID FISH SAUCE **,,28,CTNS,15.50,/CTNS,0.000,434.00,434.00
110,SU110,ROCK CANDY *BOX*,,35,CTNS,39.75,/CTNS,0.000,1391.25,355.25
111,FR311A,FR. AROY-D BANANA LEAVES,,20,CTNS,20.00,/CTNS,0.000,400.00,90.00
120,COF102,TRUNG NGUYEN COFFEE culi,,5,CTNS,75.00,/CTNS,0.000,375.00,35.00
130,PW306C,KARA COCONUT CREAM,1000ML,30,CTNS,40.00,/CTNS,0.000,1200.00,75.00
140,KS105,SK BOT BANH XEO prepared,,5,CTNS,36.00,/CTNS,0.000,180.00,17.50
150,FU100,DRIED WHITE FUNGUS,*BAG*,2,CTNS,65.00,/CTNS,0.000,130.00,16.00
,,,,,,,Invoice totals:,,7482.75,1372.50

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0453
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770535,Invoice date:,11/19/18,Customer: G042,GREEN FARM MARKET (FTV),Sales rep:,14,*** CREDIT MEMO
Order,#:,99984,Order date:,11/07/18,,16042 MAGNOLIA AVE.
,,,,,Telephone:,714-843-1818
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,Qty-shipped,,Unit price,,Lin-disc%,Ext-price,Gross-margin
10,CV131,,LAL PKL LOTUS ROOTLET (L),1,CTNS,28.00,/CTNS,0.000,28.00-,11.00-
,,,,,,,Invoice totals:,,28.00-,11.00-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0454
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770536,Invoice date:,11/19/18,,Customer: S030,,SAIGON CITY,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99985,Order date:,11/07/18,,,,15471 BROOKHURST.
,,,,,,Telephone:,,714-531-9800
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,FS107A,,CBH NUOC MAM PHA SAN,,,1,CTNS,,32.00,/CTNS,0.000,32.00-,32.00-
20,SE104,,CHINESE SESAME OIL,,16 OZ,2,CTNS,,46.00,/CTNS,0.000,92.00-,8.00-
,,,,,,,,,Invoice totals:,,,124.00-,40.00-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0455
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770537,Invoice date:,11/19/18,,Customer: M024,,MY THUAN SUPERMARKET,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99986,Order date:,11/07/18,,,,8900 WESTMINTER BLVD.
,,,,,,Telephone:,,714-657-7968
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,COF107B,,NESCAFE VIET,2n1,*DEN BOX,10,CTNS,,58.00,/CTNS,0.000,580.00-,207.20-
20,COF107B,,NESCAFE VIET,2n1,*DEN BOX,2,CTNS,,0.00,/CTNS,0.000,0.00,74.56
30,COF109B,,NESCAFE VIET,3n1,*SUA DA,10,CTNS,,58.00,/CTNS,0.000,580.00-,205.70-
40,COF109B,,NESCAFE VIET,3n1,*SUA DA,2,CTNS,,0.00,/CTNS,0.000,0.00,74.86
,,,,,,,,,Invoice totals:,,,"1,160.00-",263.48-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0456
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770538,Invoice date:,11/19/18,,Customer: A111,,A DONG MARKET,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99987,Order date:,11/07/18,,,,9221 BOLSA AVE
,,,,,,Telephone:,,714-999-5566
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,COF161,,VINA 3IN1 CAFE,*20 SACH*,,14,CTNS,,39.00,/CTNS,0.000,546.00-,75.60-
,,,,,,,,,Invoice totals:,,,546.00-,75.60-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0457
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770539,Invoice date:,11/19/18,,Customer: MOM,,MOM SUPERMARKET,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99988,Order date:,11/07/18,,,,5111 W.EDINGER AVE.
,,,,,,Telephone:,,714-839-3939
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,DD155,,MIKKO BOT BANH BAO MJ-535,,,1,CTNS,,50.00,/CTNS,0.000,50.00-,10.05-
20,HL104,,OX & PALM CORNED BEEF,,*L*,1,CTNS,,108.00,/CTNS,0.000,108.00-,10.00-
,,,,,,,,,Invoice totals:,,,158.00-,20.05-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0458
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770540,Invoice date:,11/19/18,,Customer: A111,,A DONG MARKET,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99989,Order date:,11/07/18,,,,9221 BOLSA AVE
,,,,,,Telephone:,,714-999-5566
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,COF109C,,TRUNG NGUYEN COFEE,,*20PK,20,CTNS,,43.00,/CTNS,0.000,860.00-,170.00-
,,,,,,,,,Invoice totals:,,,860.00-,170.00-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0459
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770541,Invoice date:,11/19/18,,Customer: S037,,"SL & SONS PRODUCE, INC.",,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99990,Order date:,11/07/18,,,,14831 MORAN STREET
,,,,,,Telephone:,,714-901-6682
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,FR326,,O'TASTY SPRING ROLL SHELL,,,4,CTNS,,32.00,/CTNS,0.000,128.00-,12.00-
20,,,C/R SPOILAGE
,,,,,,,,,Invoice totals:,,,128.00-,12.00-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0460
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770542,Invoice date:,11/19/18,,Customer: A111,,A DONG MARKET,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99991,Order date:,11/07/18,,,,9221 BOLSA AVE
,,,,,,Telephone:,,714-999-5566
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,FR326,,O'TASTY SPRING ROLL SHELL,,,5,CTNS,,32.00,/CTNS,0.000,160.00-,15.00-
20,,,C/R SPOILAGE
,,,,,,,,,Invoice totals:,,,160.00-,15.00-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0461
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770543,Invoice date:,11/19/18,,Customer: G042,,GREEN FARM MARKET (FTV),,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99992,Order date:,11/07/18,,,,16042 MAGNOLIA AVE.
,,,,,,Telephone:,,714-843-1818
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,MU103,,LUCKY STRAW MUSHROOM,,*M*,1,CTNS,,11.06,/CTNS,0.000,11.06-,15.72
20,,,C/R EXPIRED
,,,,,,,,,Invoice totals:,,,11.06-,15.72

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0462
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770544,Invoice date:,11/19/18,,Customer: S020,,SAIGON SUPERMARKET,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99993,Order date:,11/07/18,,,,10131 WESTMINSTER AVE.
,,,,,,Telephone:,,714-636-5600
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,FR310BB,,FR. LEMON GRASS,,*1LB BAG*,1,CTNS,,40.00,/CTNS,0.000,40.00-,14.50-
20,FR703B,,FR. GRATED PURPLE YAM,,14z,1,CTNS,,50.00,/CTNS,0.000,50.00-,20.95-
30,FR710A,,FR. COOK UNPEEL CORN,,2 PC,3,CTNS,,30.00,/CTNS,0.000,90.00-,21.60-
40,FR710B,,FR. COOK UNPEEL CORN,,3 PC,3,CTNS,,35.00,/CTNS,0.000,105.00-,27.96-
50,FR385,,MENLO SPRING ROLL WRAPPER,,,3,CTNS,,22.50,/CTNS,0.000,67.50-,8.55-
60,FR322,,WEI-C EGG ROLL SHELL,,,3,CTNS,,39.00,/CTNS,0.000,117.00-,15.00-
70,FR326,,O'TASTY SPRING ROLL SHELL,,,3,CTNS,,32.00,/CTNS,0.000,96.00-,9.00-
,,,,,,,,,Invoice totals:,,,565.50-,117.56-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0463
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770545,Invoice date:,11/19/18,,Customer: S037,,"SL & SONS PRODUCE, INC.",,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99994,Order date:,11/07/18,,,,14831 MORAN STREET
,,,,,,Telephone:,,714-901-6682
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,FR326,,O'TASTY SPRING ROLL SHELL,,,1,CTNS,,32.00,/CTNS,0.000,32.00-,3.00-
,,,,,,,,,Invoice totals:,,,32.00-,3.00-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0464
,,,,,I N V O I C E,H I S T O R Y,,B Y,I N V O I C E
Invoice,#:,770546,Invoice date:,11/19/18,,Customer: A111,,A DONG MARKET,,,Sales rep:,14,*** CREDIT MEMO
Order,#:,99995,Order date:,11/07/18,,,,9221 BOLSA AVE
,,,,,,Telephone:,,714-999-5566
Report location,,,:Q:\PSI\PBS/RWWRK/13352287.pdf
Seq# Item/Svc,,#,Description,,,Qty-shipped,,Unit price,,Lin-disc%,,Ext-price,Gross-margin
10,FD105,,FOCO COCONUT JUICE,,11oz,8,CTNS,,13.50,/CTNS,0.000,108.00-,20.00-
20,FD105B,,FOCO ROAST. COCONUT JUICE,,,6,CTNS,,14.50,/CTNS,0.000,87.00-,18.00-
,,,,,,,,,Invoice totals:,,,195.00-,38.00-

Date,12/14/2018,Time,13:35:25,"L.A. LUCKY IMPORT EXPORT, INC.",PDF Generated Report,Page,0465
I N V O I C E,H I S T O R Y,B Y,I N V O I C E
Invoice,#:,770547,Invoice date:,11/19/18,Customer: TK,,"SAN YOUNG MARKET, INC.",Sales rep:,14,*** CREDIT MEMO
